averageEnc,averageDec,lenPol
0.17168622016906737,0.07423167228698731,10
0.29260954856872556,0.0751352310180664,20
0.4149230718612671,0.0746157169342041,30
0.5486308574676514,0.07532212734222413,40
0.6635195016860962,0.07558560371398926,50
0.7974642992019654,0.07545464038848877,60
0.9193598747253418,0.07643218040466308,70
1.0274340391159058,0.07558765411376953,80
1.1648657321929932,0.07574388980865479,90
1.2959885120391845,0.0768812894821167,100
