averageUpload,averageGetData,fileSize
1.095818114,0.338470078,1000
1.275736904,0.323535776,10000
1.199868059,0.335182643,100000
1.458826303,0.38287816,1000000
2.671183372,0.961748171,10000000
18.09591596,10.08808823,100000000
39.78851688,18.43168981,200000000
65.16441669,27.02680874,300000000
87.12737367,36.53309293,400000000
102.2602341,44.76743526,500000000
