averageUpload,averageGetData,fileNumber
1207.3999166488647,348.2593774795532,1
5088.477897644043,1636.139726638794,10
7348.814105987549,3009.8872900009155,20
11872.099232673645,4298.33984375,30
13427.057003974915,5408.157849311829,40
20889.6320104599,6870.075678825378,50
21608.85820388794,8253.68435382843,60
25403.54096889496,9561.20638847351,70
30655.503344535828,11303.346681594849,80
